legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
02-administrativo-evaluador,ctg_productos_mm_CPC,ctg_productos_{tipo}_cpc,product,product,16,adm_mmCPC_id|adm_mmCPC_tpr_id,1
02-administrativo-evaluador,ctg_productos_mm_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_mmDOC_idr|adm_mmDOC_tpt_id|adm_mmDOC_tpr_id|adm_mmDOC_ttc_id|adm_mmDOC_numsol|adm_mmDOC_id|adm_mmDOC_part,4
02-administrativo-evaluador,ctg_productos_mm_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,71,adm_mmEMP_id|adm_mmEMP_tpr_id|adm_mmEMP_rif|adm_mmEMP_rol_id,5
02-administrativo-evaluador,ctg_productos_mm_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_mmEMPreg_id|adm_mmEMPreg_tpt_id|adm_mmEMPreg_tpr_id|adm_mmEMPreg_rif|adm_mmEMPreg_rol_id|adm_mmEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_mm_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_mmFIT_id|adm_mmFIT_tpr_id|adm_mmFIT_tipo,1
02-administrativo-evaluador,ctg_productos_mm_SEC,ctg_productos_{tipo}_sec,product,product,12,adm_mmSEC_id|adm_mmSEC_tpr_id|adm_mmSEC_pre_id|adm_mmSEC_env1_id,2
02-administrativo-evaluador,ctg_productos_mm_files,ctg_productos_{tipo}_files,product,product,13,adm_mmfil_idr|adm_mmfil_numsol|adm_mmfil_tpr_id|adm_mmfil_tpt_id|adm_mmfil_id,3
02-administrativo-evaluador,ctg_productos_mm_formula,ctg_productos_{tipo}_formula,product,product,17,adm_mmFOR_idr|adm_mmFOR_tpr_id|adm_mmFOR_id|adm_mmFOR_sus_id|adm_mmFOR_tipo,4
02-administrativo-evaluador,ctg_productos_mm_formulareg,ctg_productos_{tipo}_formulareg,product,product,17,adm_mmFOR_idr|adm_mmFOR_tpr_id|adm_mmFOR_id|adm_mmFOR_sus_nom|adm_mmFOR_tipo,2
02-administrativo-evaluador,ctg_productos_mm_historia,ctg_productos_{tipo}_historia,product,product,13,adm_mmHIS_id|adm_mmHIS_tpr_id|adm_mmHIS_tipo|adm_mmHIS_fecha,3
02-administrativo-evaluador,ctg_productos_mm_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_mmmsg_idr|adm_mmmsg_tpt_id|adm_mmmsg_tpr_id|adm_mmmsg_tipo|adm_mmmsg_id,1
02-administrativo-evaluador,ctg_productos_mm_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_mmpub_idr|adm_mmpub_numsol|adm_mmpub_tpr_id|adm_mmpub_tpt_id|adm_mmpub_id,3
02-administrativo-evaluador,ctg_productos_mm_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_mm_tpt_idr|adm_mm_tpt_id|adm_mm_tpr_id,1
02-administrativo-evaluador,ctg_productos_pa,ctg_productos_{tipo},product,product,106,adm_pa_id|adm_pa_tpr_id,1
02-administrativo-evaluador,ctg_productos_pa_CPC,ctg_productos_{tipo}_cpc,product,product,16,adm_paCPC_id|adm_paCPC_tpr_id,1
02-administrativo-evaluador,ctg_productos_pa_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_paDOC_idr|adm_paDOC_tpt_id|adm_paDOC_tpr_id|adm_paDOC_ttc_id|adm_paDOC_numsol|adm_paDOC_id|adm_paDOC_part,4
02-administrativo-evaluador,ctg_productos_pa_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,72,adm_paEMP_id|adm_paEMP_tpr_id|adm_paEMP_rif|adm_paEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_pa_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_paEMPreg_id|adm_paEMPreg_tpt_id|adm_paEMPreg_tpr_id|adm_paEMPreg_rif|adm_paEMPreg_rol_id|adm_paEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_pa_files,ctg_productos_{tipo}_files,product,product,13,adm_pafil_idr|adm_pafil_numsol|adm_pafil_tpr_id|adm_pafil_tpt_id|adm_pafil_id,3
02-administrativo-evaluador,ctg_productos_pa_formula,ctg_productos_{tipo}_formula,product,product,13,adm_paFOR_idr|adm_paFOR_tpr_id|adm_paFOR_sus_id|adm_paFOR_tipo,3
